,Algo,Mean Accuracy,Mean Precision,Mean Sensitivity,Mean Specificity,Mean F1-score,Mean AUC,CI UP Accuracy,CI Down Accuracy,CI UP Precision,CI Down Precision,CI UP Sensitivity,CI Down Sensitivity,CI UP Specificity,CI Down Specificity,CI UP F1-score,CI Down F1-score,CI UP AUC,CI Down AUC
132,RandomForest_surf0_1024,86.67,88.88,82.0,99.17,83.79,82.0,83.64,84.7,86.03,87.17,77.39,78.89,95.93,96.54,78.47,80.0,77.39,78.89
133,RandomForest_surf0_128,90.34,91.15,87.0,95.83,87.98,87.0,87.4,88.41,86.91,88.12,83.97,85.14,92.15,93.1,84.86,86.01,83.97,85.14
134,RandomForest_surf0_256,88.33,89.95,87.08,94.92,86.78,87.08,85.86,86.78,86.97,87.98,83.01,84.14,90.68,91.96,83.13,84.22,83.01,84.14
135,RandomForest_surf0_512,88.25,85.88,85.8,96.67,84.99,85.8,84.94,85.98,81.39,83.3,79.36,81.23,91.18,91.99,79.68,81.56,79.36,81.23
136,RandomForest_surf0_64,89.57,88.79,87.88,92.42,87.3,87.88,86.35,87.18,85.26,86.33,84.22,85.13,88.03,89.47,83.64,84.65,84.22,85.13
137,RandomForest_orb_128,87.22,87.16,85.83,93.33,85.45,85.83,84.16,85.2,83.37,84.51,82.02,83.24,88.25,89.5,81.4,82.55,82.02,83.24
138,RandomForest_orb_256,84.12,82.41,81.67,89.17,80.85,81.67,80.18,81.25,78.69,79.79,77.97,79.21,84.53,86.01,76.91,78.07,77.97,79.21
139,RandomForest_orb_64,86.03,86.35,87.0,0.0,84.57,87.0,83.14,84.52,82.63,84.16,82.85,84.22,83.78,85.68,80.83,82.41,82.85,84.22
140,RandomForest_brisk_128,81.76,80.38,76.58,91.67,77.1,76.58,78.01,79.07,74.49,76.08,71.23,72.63,87.45,88.53,71.37,72.85,71.23,72.63
141,RandomForest_brisk_256,0.0,80.46,73.33,92.0,73.88,73.33,77.13,78.24,75.42,76.98,71.46,72.6,85.05,86.46,71.91,73.1,71.46,72.6
142,RandomForest_brisk_64,82.35,82.0,78.7,0.0,78.87,78.7,78.92,80.06,76.35,77.83,74.09,75.37,85.63,86.95,74.11,75.48,74.09,75.37
143,RandomForest_kaze_128,84.79,85.54,82.0,90.83,81.04,82.0,81.71,82.67,80.05,81.0,79.83,80.97,85.73,87.11,78.14,79.08,79.83,80.97
144,RandomForest_kaze_256,82.56,83.04,79.58,0.0,79.32,79.58,79.32,80.31,78.45,79.61,75.51,76.68,87.15,88.6,74.64,75.6,75.51,76.68
145,RandomForest_kaze_64,85.26,83.0,80.42,0.0,81.09,80.42,82.29,83.71,79.88,81.98,76.42,78.54,87.49,89.06,77.25,79.34,76.42,78.54
146,RandomForest_akaze_128,82.87,84.44,79.13,90.76,79.33,79.13,77.67,79.09,75.54,77.4,72.14,73.63,85.39,87.39,71.63,73.38,72.14,73.63
